text,category
аренда 990,ЖКХ и аренда
КАРШЕРИНГ ЗА 500,Транспорт
мобильная связь 75,Связь
такси,Транспорт
ЯЙЦА!,Продукты
бронь отел ясегодня,Путешествия
купил носки,Одежда
какао 100,Кофейни
снова секция,Спорт
футболка 100,Одежда
потратил на авиабилеты,Путешествия
потартил на мтс,Связь
автобус 120,Транспорт
потратил на тренер,Спорт
стоматоолг,Здоровье
бронь отеля,Путешествия
яйца сегодня,Продукты
3000 старбакс,Кофейни
потратил на рубашка,Одежда
купил пришла зарплата,Зарплата
снова открытка,Подарки
оплата флэт уайт,Кофейни
349 коммуналка,ЖКХ и аренда
поел!,Рестораны
потратил на кофе с собой,Кофейни
купила вкусно и точка,Рестораны
купил репетитор,Учёба
снова кофе с собой,Кофейни
купила латте,Кофейни
купила молоко,Продукты
нетлфикс!,Подписки
приём врача за 349,Здоровье
жильё!,Путешествия
букет3 49,Подарки
снова пришла зарплата,Зарплата
снова яндекс плюс,Подписки
протеин!,Спорт
снова коктейль,Развлечения
потратил на пицца,Рестораны
75 свитер,Одежда
бассейн!,Спорт
снова теннис,Спорт
1000р аф,Кофейни
счёт за свте!,ЖКХ и аренда
купила шарики,Подарки
купил раф,Кофейни
тур сегодня,Путешествия
купила тариф,Связь
купила книга,Учёба
золотое яблоок сегодня,Косметика
купила подарочная карта,Подарки
снова аванс,Зарплата
купила ланч,Рестораны
симка!,Связь
купил раф,Кофейни
ЖКХ ЗА 120,ЖКХ и аренда
шарики за 75,Подарки
купила билеты на концерт,Развлечения
кпуила шарики,Подарки
оплата лекарства,Здоровье
ПОТРАТИЛ НА УЗИ,Здоровье
стомтаолог,Здоровье
КУРА,Продукты
бассейн сегодня,Спорт
учеба сегодня,Учёба
аренда квартиры!,ЖКХ и аренда
вкест,Развлечения
клиника сегодня,Здоровье
ХАЛТУРА 3000,Подработка
45 коммуналка,ЖКХ и аренда
дикси сегодня,Продукты
купил автошкола,Учёба
подарок маме!,Подарки
яндекс плюс сегодня,Подписки
потратил на кальян,Развлечения
оплата отопление,ЖКХ и аренда
обув ь120,Одежда
оплата бассейн,Спорт
купил мтс,Связь
ПОТРАТИЛ НА МЕГАФОН,Связь
трансфер,Путешествия
фитнес сегодня,Спорт
45 яндекс плюс,Подписки
потратил на тройка,Транспорт
349 подработка,Подработка
купила трансфер,Путешествия
аренад,ЖКХ и аренда
купила пополнение телефона,Связь
учёба сегодня,Учёба
теле2 сегодня,Связь
1500 капли,Здоровье
мазь!,Здоровье
раф сегодня,Кофейни
снова виза,Путешествия
купил цветы,Подарки
купил секция,Спорт
ПОТРАТИЛ НА ВКУСНО И ТОЧКА,Рестораны
потратил на билайн,Связь
купила приём врача,Здоровье
снова музей,Развлечения
купил консультация,Подработка
купил подарки,Подарки
потратил на аренда квартиры,ЖКХ и аренда
купил лэтуаль,Косметика
снова связь,Связь
зп!,Зарплата
нетфликс за 75,Подписки
снова кроссовки,Одежда
английсикй сегодня,Учёба
оплата лекарства,Здоровье
одежда!,Одежда
флэт уайт!,Кофейни
тренировка,Спорт
икеа за 2000,Хозтовары
3000 буст,Подписки
оклад за 75,Зарплата
АШАН ЗА 500,Продукты
купил кинопоиск,Подписки
120 кофе на вынос,Кофейни
оплата кура,Продукты
потратил на секция,Спорт
ресторан,Рестораны
оплата подарок маме,Подарки
купила подработка,Подработка
45 подарок маме,Подарки
купила теннис,Спорт
оплата клиника,Здоровье
купила чемодан,Путешествия
потратил на яндекс плюс,Подписки
потратил на счёт за свет,ЖКХ и аренда
леруа за 349,Хозтовары
потратил на проезд,Транспорт
пицца за 990,Рестораны
снова кофе на вынос,Кофейни
крем!,Косметика
латте сегодня,Кофейни
КУРТКА,Одежда
вкусвилл!,Продукты
